RT,First name,Last name,Party,Constituency,Uri,Rebel
25669,Ben,Lake,Plaid Cymru,Ceredigion,http://data.parliament.uk/members/4630,0
11323,Hywel,Williams,Plaid Cymru,Arfon,http://data.parliament.uk/members/1397,0
25302,Liz,Saville-Roberts,Plaid Cymru,Dwyfor Meirionnydd,http://data.parliament.uk/members/4521,0
13864,Jim,Shannon,DUP,Strangford,http://data.parliament.uk/members/4131,10
10001,Diane,Abbott,Labour,Hackney North and Stoke Newington,http://data.parliament.uk/members/172,13
25034,Debbie,Abrahams,Labour,Oldham East and Saddleworth,http://data.parliament.uk/members/4212,11
24878,Nigel,Adams,Conservative,Selby and Ainsty,http://data.parliament.uk/members/4057,18
25661,Bim,Afolami,Conservative,Hitchin and Harpenden,http://data.parliament.uk/members/4639,22
11929,Adam,Afriyie,Conservative,Windsor,http://data.parliament.uk/members/1586,22
25817,Nickie,Aiken,Conservative,Cities of London and Westminster,http://data.parliament.uk/members/4741,23
24904,Peter,Aldous,Conservative,Waveney,http://data.parliament.uk/members/4069,22
24958,Rushanara,Ali,Labour,Bethnal Green and Bow,http://data.parliament.uk/members/4138,4
25888,Tahir,Ali,Labour,"Birmingham, Hall Green",http://data.parliament.uk/members/4747,9
25337,Lucy,Allan,Conservative,Telford,http://data.parliament.uk/members/4411,23
25579,Rosena,Allin-Khan,Labour,Tooting,http://data.parliament.uk/members/4573,2
25702,Mike,Amesbury,Labour,Weaver Vale,http://data.parliament.uk/members/4667,13
10009,David,Amess,Conservative,Southend West,http://data.parliament.uk/members/44,22
25813,Fleur,Anderson,Labour,Putney,http://data.parliament.uk/members/4788,14
25894,Lee,Anderson,Conservative,Ashfield,http://data.parliament.uk/members/4743,23
25818,Stuart,Anderson,Conservative,Wolverhampton South West,http://data.parliament.uk/members/4742,22
24864,Stuart,Andrew,Conservative,Pudsey,http://data.parliament.uk/members/4032,20
25335,Caroline,Ansell,Conservative,Eastbourne,http://data.parliament.uk/members/4512,21
25634,Tonia,Antoniazzi,Labour,Gower,http://data.parliament.uk/members/4623,9
25396,Edward,Argar,Conservative,Charnwood,http://data.parliament.uk/members/4362,22
25120,Jon,Ashworth,Labour,Leicester South,http://data.parliament.uk/members/4244,13
25810,Sarah,Atherton,Conservative,Wrexham,http://data.parliament.uk/members/4855,19
25424,Victoria,Atkins,Conservative,Louth and Horncastle,http://data.parliament.uk/members/4399,17
25750,Gareth,Bacon,Conservative,Orpington,http://data.parliament.uk/members/4798,22
10707,Richard,Bacon,Conservative,South Norfolk,http://data.parliament.uk/members/1451,20
25693,Kemi,Badenoch,Conservative,Saffron Walden,http://data.parliament.uk/members/4597,21
25814,Shaun,Bailey,Conservative,West Bromwich West,http://data.parliament.uk/members/4757,17
25838,Siobhan,Baillie,Conservative,Stroud,http://data.parliament.uk/members/4847,24
25844,Duncan,Baker,Conservative,North Norfolk,http://data.parliament.uk/members/4784,23
24786,Steven,Baker,Conservative,Wycombe,http://data.parliament.uk/members/4064,14
24785,Harriett,Baldwin,Conservative,West Worcestershire,http://data.parliament.uk/members/4107,22
24916,Steve,Barclay,Conservative,North East Cambridgeshire,http://data.parliament.uk/members/4095,5
25409,Hannah,Bardell,Scottish National Party,Livingston,http://data.parliament.uk/members/4486,0
25819,Paula,Barker,Labour,"Liverpool, Wavertree",http://data.parliament.uk/members/4828,14
10715,John,Baron,Conservative,Basildon and Billericay,http://data.parliament.uk/members/1390,21
25799,Simon,Baynes,Conservative,Clwyd South,http://data.parliament.uk/members/4800,11
10031,Margaret,Beckett,Labour,Derby South,http://data.parliament.uk/members/328,11
25726,??rfhlaith,Begley,Sinn F??in,West Tyrone,http://data.parliament.uk/members/4697,0
25914,Apsana,Begum,Labour,Poplar and Limehouse,http://data.parliament.uk/members/4790,13
25916,Aaron,Bell,Conservative,Newcastle-under-Lyme,http://data.parliament.uk/members/4837,25
10669,Hilary,Benn,Labour,Leeds Central,http://data.parliament.uk/members/413,13
25800,Scott,Benton,Conservative,Blackpool South,http://data.parliament.uk/members/4793,22
10041,Paul,Beresford,Conservative,Mole Valley,http://data.parliament.uk/members/103,20
24860,Jake,Berry,Conservative,Rossendale and Darwen,http://data.parliament.uk/members/4060,19
10045,Clive,Betts,Labour,Sheffield South East,http://data.parliament.uk/members/394,14
25847,Saqib,Bhatti,Conservative,Meriden,http://data.parliament.uk/members/4818,22
25269,Mhairi,Black,Scottish National Party,Paisley and Renfrewshire South,http://data.parliament.uk/members/4421,0
25361,Ian,Blackford,Scottish National Party,"Ross, Skye and Lochaber",http://data.parliament.uk/members/4390,0
24945,Bob,Blackman,Conservative,Harrow East,http://data.parliament.uk/members/4005,22
25314,Kirsty,Blackman,Scottish National Party,Aberdeen North,http://data.parliament.uk/members/4357,0
25908,Olivia,Blake,Labour,"Sheffield, Hallam",http://data.parliament.uk/members/4864,13
24943,Paul,Blomfield,Labour,Sheffield Central,http://data.parliament.uk/members/4058,13
10051,Crispin,Blunt,Conservative,Reigate,http://data.parliament.uk/members/104,23
11915,Peter,Bone,Conservative,Wellingborough,http://data.parliament.uk/members/1581,21
25861,Steven,Bonnar,Scottish National Party,"Coatbridge, Chryston and Bellshill",http://data.parliament.uk/members/4748,0
10057,Peter,Bottomley,Conservative,Worthing West,http://data.parliament.uk/members/117,15
25703,Andrew,Bowie,Conservative,West Aberdeenshire and Kincardine,http://data.parliament.uk/members/4601,19
25592,Tracy,Brabin,Labour,Batley and Spen,http://data.parliament.uk/members/4588,13
25683,Ben,Bradley,Conservative,Mansfield,http://data.parliament.uk/members/4663,20
24725,Karen,Bradley,Conservative,Staffordshire Moorlands,http://data.parliament.uk/members/4110,19
10061,Ben,Bradshaw,Labour,Exeter,http://data.parliament.uk/members/230,12
10062,Graham,Brady,Conservative,Altrincham and Sale West,http://data.parliament.uk/members/435,20
13893,Mickey,Brady,Sinn F??in,Newry and Armagh,http://data.parliament.uk/members/4373,0
25272,Suella,Braverman,Conservative,Fareham,http://data.parliament.uk/members/4475,12
10753,Kevin,Brennan,Labour,Cardiff West,http://data.parliament.uk/members/1400,9
25698,Jack,Brereton,Conservative,Stoke-on-Trent South,http://data.parliament.uk/members/4643,22
24741,Andrew,Bridgen,Conservative,North West Leicestershire,http://data.parliament.uk/members/4133,22
24901,Steve,Brine,Conservative,Winchester,http://data.parliament.uk/members/4067,22
25795,Paul,Bristow,Conservative,Peterborough,http://data.parliament.uk/members/4792,23
25876,Sara,Britcliffe,Conservative,Hyndburn,http://data.parliament.uk/members/4838,24
25336,Deidre,Brock,Scottish National Party,Edinburgh North and Leith,http://data.parliament.uk/members/4417,0
11640,James,Brokenshire,Conservative,Old Bexley and Sidcup,http://data.parliament.uk/members/1530,16
25268,Alan,Brown,Scottish National Party,Kilmarnock and Loudoun,http://data.parliament.uk/members/4470,0
11921,Lyn,Brown,Labour,West Ham,http://data.parliament.uk/members/1583,14
10069,Nick,Brown,Labour,Newcastle upon Tyne East,http://data.parliament.uk/members/523,14
25850,Anthony,Browne,Conservative,South Cambridgeshire,http://data.parliament.uk/members/4801,23
24857,Fiona,Bruce,Conservative,Congleton,http://data.parliament.uk/members/3958,24
10761,Chris,Bryant,Labour,Rhondda,http://data.parliament.uk/members/1446,10
25891,Felicity,Buchan,Conservative,Kensington,http://data.parliament.uk/members/4821,23
10075,Karen,Buck,Labour,Westminster North,http://data.parliament.uk/members/199,13
24843,Robert,Buckland,Conservative,South Swindon,http://data.parliament.uk/members/4106,21
25659,Alex,Burghart,Conservative,Brentwood and Ongar,http://data.parliament.uk/members/4613,22
25391,Richard,Burgon,Labour,Leeds East,http://data.parliament.uk/members/4493,8
